Date,Open,High,Low,Close
2023-05-09,1.2613,1.2639,1.2581,1.2613
2023-05-10,1.2626,1.2679,1.2604,1.2625
2023-05-11,1.2629,1.2641,1.2500,1.2627
2023-05-12,1.2510,1.2541,1.2460,1.2508
2023-05-15,1.2454,1.2525,1.2446,1.2451
2023-05-16,1.2526,1.2546,1.2467,1.2525
2023-05-17,1.2487,1.2494,1.2422,1.2484
2023-05-18,1.2483,1.2494,1.2401,1.2483
2023-05-19,1.2413,1.2479,1.2394,1.2412
2023-05-22,1.2461,1.2473,1.2415,1.2461
2023-05-23,1.2436,1.2447,1.2373,1.2434
2023-05-24,1.2419,1.2464,1.2358,1.2417
2023-05-25,1.2368,1.2386,1.2319,1.2371
2023-05-26,1.2319,1.2394,1.2312,1.2318
2023-05-29,1.2346,1.2373,1.2337,1.2347
2023-05-30,1.2347,1.2445,1.2328,1.2349
2023-05-31,1.2415,1.2425,1.2349,1.2412
2023-06-01,1.2446,1.2537,1.2403,1.2447
2023-06-02,1.2530,1.2545,1.2458,1.2526
2023-06-05,1.2430,1.2441,1.2370,1.2430
2023-06-06,1.2433,1.2458,1.2394,1.2433
2023-06-07,1.2431,1.2500,1.2396,1.2429
2023-06-08,1.2447,1.2557,1.2442,1.2446
2023-06-09,1.2559,1.2591,1.2536,1.2560
2023-06-12,1.2578,1.2599,1.2488,1.2581
2023-06-13,1.2515,1.2620,1.2515,1.2515
2023-06-14,1.2607,1.2700,1.2601,1.2607
2023-06-15,1.2672,1.2765,1.2631,1.2671
2023-06-16,1.2786,1.2848,1.2769,1.2786
2023-06-19,1.2834,1.2840,1.2787,1.2830
2023-06-20,1.2795,1.2806,1.2715,1.2795
2023-06-21,1.2765,1.2798,1.2694,1.2765
2023-06-22,1.2771,1.2817,1.2730,1.2772
2023-06-23,1.2745,1.2751,1.2692,1.2747
2023-06-26,1.2733,1.2748,1.2690,1.2730
2023-06-27,1.2709,1.2759,1.2705,1.2712
2023-06-28,1.2745,1.2751,1.2608,1.2745
2023-06-29,1.2641,1.2666,1.2593,1.2643
2023-06-30,1.2615,1.2726,1.2601,1.2615
2023-07-03,1.2694,1.2719,1.2660,1.2693
2023-07-04,1.2690,1.2736,1.2685,1.2693
2023-07-05,1.2721,1.2734,1.2689,1.2718
2023-07-06,1.2706,1.2780,1.2676,1.2705
2023-07-07,1.2742,1.2840,1.2727,1.2743
2023-07-10,1.2839,1.2839,1.2753,1.2839
2023-07-11,1.2863,1.2933,1.2860,1.2865
2023-07-12,1.2935,1.3002,1.2905,1.2935
2023-07-13,1.2998,1.3113,1.2990,1.2996
2023-07-14,1.3131,1.3142,1.3095,1.3129
2023-07-17,1.3091,1.3107,1.3054,1.3090
2023-07-18,1.3071,1.3125,1.3051,1.3072
2023-07-19,1.3035,1.3040,1.2872,1.3035
2023-07-20,1.2940,1.2965,1.2842,1.2940
2023-07-21,1.2870,1.2904,1.2818,1.2872
2023-07-24,1.2852,1.2883,1.2799,1.2853
2023-07-25,1.2812,1.2877,1.2811,1.2813
2023-07-26,1.2893,1.2936,1.2876,1.2894
2023-07-27,1.2929,1.2995,1.2827,1.2927
2023-07-28,1.2794,1.2885,1.2765,1.2794
2023-07-31,1.2854,1.2873,1.2830,1.2854
2023-08-01,1.2832,1.2839,1.2742,1.2834
2023-08-02,1.2791,1.2797,1.2682,1.2796
2023-08-03,1.2718,1.2728,1.2626,1.2720
2023-08-04,1.2716,1.2783,1.2692,1.2716
2023-08-04,1.2712,1.2791,1.2691,1.2750
